,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Runs,Day,Month
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Jos Buttler,RR,5,272,14,4
1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,Hardik Pandya,GT,5,228,14,4
2,2,2.0,2.0,2.0,2.0,2.0,2.0,3,Shivam Dube,CSK,5,207,14,4
3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,Shubman Gill,GT,5,200,14,4
4,4,4.0,4.0,4.0,4.0,4.0,4.0,5,Shimron Hetmyer,RR,5,197,14,4
5,5,5.0,5.0,5.0,5.0,5.0,5.0,6,Shikhar Dhawan,PBKS,5,197,14,4
6,6,6.0,6.0,6.0,6.0,6.0,6.0,7,Robin Uthappa,CSK,5,194,14,4
7,7,7.0,7.0,7.0,7.0,7.0,7.0,8,Quinton de Kock,LSG,5,188,14,4
8,8,8.0,8.0,8.0,8.0,8.0,8.0,9,Ishan Kishan,MI,5,178,14,4
9,9,9.0,9.0,9.0,9.0,9.0,9.0,10,Liam Livingstone,PBKS,5,164,14,4
10,10,10.0,10.0,10.0,10.0,10.0,10.0,11,Suryakumar Yadav,MI,3,163,14,4
11,11,11.0,11.0,11.0,11.0,11.0,11.0,12,Prithvi Shaw,DC,4,160,14,4
12,12,12.0,12.0,12.0,12.0,12.0,0.0,1,Jos Buttler,RR,5,272,15,4
13,13,13.0,13.0,13.0,13.0,13.0,1.0,2,Hardik Pandya,GT,5,228,15,4
14,14,14.0,14.0,14.0,14.0,14.0,2.0,3,Shivam Dube,CSK,5,207,15,4
15,15,15.0,15.0,15.0,15.0,15.0,3.0,4,Shubman Gill,GT,5,200,15,4
16,16,16.0,16.0,16.0,16.0,16.0,4.0,5,Shimron Hetmyer,RR,5,197,15,4
17,17,17.0,17.0,17.0,17.0,17.0,5.0,6,Shikhar Dhawan,PBKS,5,197,15,4
18,18,18.0,18.0,18.0,18.0,18.0,6.0,7,Robin Uthappa,CSK,5,194,15,4
19,19,19.0,19.0,19.0,19.0,19.0,7.0,8,Quinton de Kock,LSG,5,188,15,4
20,20,20.0,20.0,20.0,20.0,20.0,8.0,9,Andre Russell,KKR,6,179,15,4
21,21,21.0,21.0,21.0,21.0,21.0,9.0,10,Ishan Kishan,MI,5,178,15,4
22,22,22.0,22.0,22.0,22.0,22.0,10.0,11,Rahul Tripathi,SRH,5,171,15,4
23,23,23.0,23.0,23.0,23.0,23.0,11.0,12,Liam Livingstone,PBKS,5,164,15,4
24,24,24.0,24.0,24.0,24.0,0.0,,1,Jos Buttler,RR,5,272,16,4
25,25,25.0,25.0,25.0,25.0,1.0,,2,KL Rahul,LSG,6,235,16,4
26,26,26.0,26.0,26.0,26.0,2.0,,3,Hardik Pandya,GT,5,228,16,4
27,27,27.0,27.0,27.0,27.0,3.0,,4,Quinton de Kock,LSG,6,212,16,4
28,28,28.0,28.0,28.0,28.0,4.0,,5,Shivam Dube,CSK,5,207,16,4
29,29,29.0,29.0,29.0,29.0,5.0,,6,Suryakumar Yadav,MI,4,200,16,4
30,30,30.0,30.0,30.0,30.0,6.0,,7,Shubman Gill,GT,5,200,16,4
31,31,31.0,31.0,31.0,31.0,7.0,,8,Shimron Hetmyer,RR,5,197,16,4
32,32,32.0,32.0,32.0,32.0,8.0,,9,Shikhar Dhawan,PBKS,5,197,16,4
33,33,33.0,33.0,33.0,33.0,9.0,,10,Robin Uthappa,CSK,5,194,16,4
34,34,34.0,34.0,34.0,34.0,10.0,,11,Ishan Kishan,MI,6,191,16,4
35,35,35.0,35.0,35.0,35.0,11.0,,12,Tilak Varma,MI,6,183,16,4
36,36,36.0,36.0,36.0,0.0,,,1,Jos Buttler,RR,5,272,17,4
37,37,37.0,37.0,37.0,1.0,,,2,KL Rahul,LSG,6,235,17,4
38,38,38.0,38.0,38.0,2.0,,,3,Hardik Pandya,GT,5,228,17,4
39,39,39.0,39.0,39.0,3.0,,,4,Liam Livingstone,PBKS,6,224,17,4
40,40,40.0,40.0,40.0,4.0,,,5,Quinton de Kock,LSG,6,212,17,4
41,41,41.0,41.0,41.0,5.0,,,6,Shivam Dube,CSK,5,207,17,4
42,42,42.0,42.0,42.0,6.0,,,7,Rahul Tripathi,SRH,6,205,17,4
43,43,43.0,43.0,43.0,7.0,,,8,Shikhar Dhawan,PBKS,6,205,17,4
44,44,44.0,44.0,44.0,8.0,,,9,Suryakumar Yadav,MI,4,200,17,4
45,45,45.0,45.0,45.0,9.0,,,10,Shubman Gill,GT,5,200,17,4
46,46,46.0,46.0,46.0,10.0,,,11,Shimron Hetmyer,RR,5,197,17,4
47,47,47.0,47.0,47.0,11.0,,,12,Dinesh Karthik,RCB,6,197,17,4
48,48,48.0,48.0,0.0,,,,1,Jos Buttler,RR,6,375,18,4
49,49,49.0,49.0,1.0,,,,2,Shreyas Iyer,KKR,7,236,18,4
50,50,50.0,50.0,2.0,,,,3,KL Rahul,LSG,6,235,18,4
51,51,51.0,51.0,3.0,,,,4,Hardik Pandya,GT,5,228,18,4
52,52,52.0,52.0,4.0,,,,5,Shivam Dube,CSK,6,226,18,4
53,53,53.0,53.0,5.0,,,,6,Liam Livingstone,PBKS,6,224,18,4
54,54,54.0,54.0,6.0,,,,7,Shimron Hetmyer,RR,6,223,18,4
55,55,55.0,55.0,7.0,,,,8,Quinton de Kock,LSG,6,212,18,4
56,56,56.0,56.0,8.0,,,,9,Rahul Tripathi,SRH,6,205,18,4
57,57,57.0,57.0,9.0,,,,10,Shikhar Dhawan,PBKS,6,205,18,4
58,58,58.0,58.0,10.0,,,,11,Suryakumar Yadav,MI,4,200,18,4
59,59,59.0,59.0,11.0,,,,12,Shubman Gill,GT,6,200,18,4
60,60,60.0,0.0,,,,,1,Jos Buttler,RR,6,375,19,4
61,61,61.0,1.0,,,,,2,Shreyas Iyer,KKR,7,236,19,4
62,62,62.0,2.0,,,,,3,KL Rahul,LSG,6,235,19,4
63,63,63.0,3.0,,,,,4,Hardik Pandya,GT,5,228,19,4
64,64,64.0,4.0,,,,,5,Shivam Dube,CSK,6,226,19,4
65,65,65.0,5.0,,,,,6,Liam Livingstone,PBKS,6,224,19,4
66,66,66.0,6.0,,,,,7,Shimron Hetmyer,RR,6,223,19,4
67,67,67.0,7.0,,,,,8,Quinton de Kock,LSG,6,212,19,4
68,68,68.0,8.0,,,,,9,Rahul Tripathi,SRH,6,205,19,4
69,69,69.0,9.0,,,,,10,Shikhar Dhawan,PBKS,6,205,19,4
70,70,70.0,10.0,,,,,11,Suryakumar Yadav,MI,4,200,19,4
71,71,71.0,11.0,,,,,12,Shubman Gill,GT,6,200,19,4
72,72,0.0,,,,,,1,Jos Buttler,RR,6,375,20,4
73,73,1.0,,,,,,2,KL Rahul,LSG,7,265,20,4
74,74,2.0,,,,,,3,Faf du Plessis,RCB,7,250,20,4
75,75,3.0,,,,,,4,Shreyas Iyer,KKR,7,236,20,4
76,76,4.0,,,,,,5,Hardik Pandya,GT,5,228,20,4
77,77,5.0,,,,,,6,Shivam Dube,CSK,6,226,20,4
78,78,6.0,,,,,,7,Liam Livingstone,PBKS,7,226,20,4
79,79,7.0,,,,,,8,Shimron Hetmyer,RR,6,223,20,4
80,80,8.0,,,,,,9,Prithvi Shaw,DC,6,217,20,4
81,81,9.0,,,,,,10,Quinton de Kock,LSG,7,215,20,4
82,82,10.0,,,,,,11,Shikhar Dhawan,PBKS,7,214,20,4
83,83,11.0,,,,,,12,Dinesh Karthik,RCB,7,210,20,4
84,0,,,,,,,1,Jos Buttler,RR,6,375,21,4
85,1,,,,,,,2,KL Rahul,LSG,7,265,21,4
86,2,,,,,,,3,Faf du Plessis,RCB,7,250,21,4
87,3,,,,,,,4,Shreyas Iyer,KKR,7,236,21,4
88,4,,,,,,,5,Hardik Pandya,GT,5,228,21,4
89,5,,,,,,,6,Shivam Dube,CSK,6,226,21,4
90,6,,,,,,,7,Liam Livingstone,PBKS,7,226,21,4
91,7,,,,,,,8,Shimron Hetmyer,RR,6,223,21,4
92,8,,,,,,,9,Prithvi Shaw,DC,6,217,21,4
93,9,,,,,,,10,Quinton de Kock,LSG,7,215,21,4
94,10,,,,,,,11,Shikhar Dhawan,PBKS,7,214,21,4
95,11,,,,,,,12,Dinesh Karthik,RCB,7,210,21,4
