,Pos,Player,Team,Matches,Innings,Average,Day,Month
0,1,Dewald Brevis,Mumbai,5,1,8.00,21,4
1,2,Yuzvendra Chahal,Rajasthan,6,6,10.35,21,4
2,3,Josh Hazlewood,Bangalore,3,3,10.75,21,4
3,4,Tim Southee,Kolkata,2,2,11.20,21,4
4,5,Lalit Yadav,Delhi,6,4,13.75,21,4
5,6,Khaleel Ahmed,Delhi,5,5,14.30,21,4
6,7,Kuldeep Yadav,Delhi,6,6,14.31,21,4
7,8,Aiden Markram,Hyderabad,6,2,17.00,21,4
8,9,Alzarri Joseph,Gujarat,1,1,17.00,21,4
9,10,T Natarajan,Hyderabad,6,6,17.33,21,4
10,11,Maheesh Theekshana,Chennai,4,4,17.57,21,4
11,12,Krishnappa Gowtham,Lucknow,2,2,17.67,21,4
12,13,Dwayne Bravo,Chennai,7,7,18.08,21,4
13,14,Rahul Chahar,Punjab,7,7,19.40,21,4
14,15,Dwaine Pretorius,Chennai,3,3,19.50,21,4
15,16,Wanindu Hasaranga,Bangalore,7,7,19.55,21,4
16,17,Yash Dayal,Gujarat,2,2,20.00,21,4
17,18,Avesh Khan,Lucknow,7,7,20.09,21,4
18,19,Obed McCoy,Rajasthan,1,1,20.50,21,4
19,20,Umesh Yadav,Kolkata,7,7,20.70,21,4
20,21,Jason Holder,Lucknow,5,5,21.62,21,4
21,22,Harshal Patel,Bangalore,6,6,21.88,21,4
22,23,Umran Malik,Hyderabad,6,6,22.33,21,4
23,24,Mohammed Shami,Gujarat,6,6,22.75,21,4
24,25,Bhuvneshwar Kumar,Hyderabad,6,6,23.25,21,4
