,Pos,Player,Team,Matches,Inn,Runs,Fours,Day,Month
0,1,Jos Buttler,Rajasthan,6,6,375, 32 ,21,4
1,2,Prithvi Shaw,Delhi,6,6,217, 29 ,21,4
2,3,Hardik Pandya,Gujarat,5,5,228, 26 ,21,4
3,4,Shreyas Iyer,Kolkata,7,7,236, 25 ,21,4
4,5,Quinton de Kock,Lucknow,7,7,215, 25 ,21,4
5,6,Faf du Plessis,Bangalore,7,7,250, 23 ,21,4
6,7,Ishan Kishan,Mumbai,7,7,191, 22 ,21,4
7,8,Lokesh Rahul,Lucknow,7,7,265, 21 ,21,4
8,9,Shikhar Dhawan,Punjab,7,7,214, 21 ,21,4
9,10,Shubman Gill,Gujarat,6,6,200, 20 ,21,4
10,11,David Warner,Delhi,4,4,191, 20 ,21,4
11,12,Robin Uthappa,Chennai,7,7,227, 19 ,21,4
12,13,Rahul Tripathi,Hyderabad,6,6,205, 19 ,21,4
13,14,Shivam Dube,Chennai,7,7,239, 18 ,21,4
14,15,Liam Livingstone,Punjab,7,7,226, 18 ,21,4
15,16,Dinesh Karthik,Bangalore,7,7,210, 18 ,21,4
16,17,Tilak Varma,Mumbai,7,7,234, 17 ,21,4
17,18,Suryakumar Yadav,Mumbai,5,5,232, 17 ,21,4
18,19,David Miller,Gujarat,6,6,193, 17 ,21,4
19,20,Abhishek Sharma,Hyderabad,6,6,173, 17 ,21,4
20,21,Aiden Markram,Hyderabad,6,5,190, 16 ,21,4
21,22,Deepak Hooda,Lucknow,7,7,183, 15 ,21,4
22,23,Ambati Rayudu,Chennai,7,6,168, 15 ,21,4
23,24,Rishabh Pant,Delhi,6,5,144, 15 ,21,4
24,25,Shimron Hetmyer,Rajasthan,6,6,223, 14 ,21,4
