,Pos,Player,Team,Matches,Inn,Runs,Sixes,Day,Month
0,1,Jos Buttler,Rajasthan,6,6,375, 23 ,21,4
1,2,Shimron Hetmyer,Rajasthan,6,6,223, 17 ,21,4
2,3,Liam Livingstone,Punjab,7,7,226, 16 ,21,4
3,4,Andre Russell,Kolkata,7,6,179, 16 ,21,4
4,5,Dinesh Karthik,Bangalore,7,7,210, 15 ,21,4
5,6,Shivam Dube,Chennai,7,7,239, 14 ,21,4
6,7,Robin Uthappa,Chennai,7,7,227, 14 ,21,4
7,8,Suryakumar Yadav,Mumbai,5,5,232, 13 ,21,4
8,9,Sanju Samson,Rajasthan,6,6,155, 12 ,21,4
9,10,Lokesh Rahul,Lucknow,7,7,265, 11 ,21,4
10,11,Tilak Varma,Mumbai,7,7,234, 11 ,21,4
11,12,Rahul Tripathi,Hyderabad,6,6,205, 11 ,21,4
12,13,Faf du Plessis,Bangalore,7,7,250, 9 ,21,4
13,14,David Miller,Gujarat,6,6,193, 9 ,21,4
14,15,Nitish Rana,Kolkata,7,7,141, 9 ,21,4
15,16,Prithvi Shaw,Delhi,6,6,217, 8 ,21,4
16,17,David Warner,Delhi,4,4,191, 8 ,21,4
17,18,Ambati Rayudu,Chennai,7,6,168, 8 ,21,4
18,19,Dewald Brevis,Mumbai,5,5,121, 8 ,21,4
19,20,Shahrukh Khan,Punjab,7,7,98, 8 ,21,4
20,21,Bhanuka Rajapaksa,Punjab,3,3,83, 8 ,21,4
21,22,Aiden Markram,Hyderabad,6,5,190, 7 ,21,4
22,23,Deepak Hooda,Lucknow,7,7,183, 7 ,21,4
23,24,Shahbaz Ahmed,Bangalore,7,5,171, 7 ,21,4
24,25,Anuj Rawat,Bangalore,7,7,129, 7 ,21,4
