,Pos,Player,Team,Matches,Inn,Balls,Wickets,5 Wickets,Day,Month
0,1,Yuzvendra Chahal,Rajasthan,6,6,144,17,1,21,4
1,2,Kuldeep Yadav,Delhi,6,6,142,13,0,21,4
2,3,Dwayne Bravo,Chennai,7,7,154,12,0,21,4
3,4,T Natarajan,Hyderabad,6,6,144,12,0,21,4
4,5,Avesh Khan,Lucknow,7,7,160,11,0,21,4
5,6,Wanindu Hasaranga,Bangalore,7,7,150,11,0,21,4
6,7,Khaleel Ahmed,Delhi,5,5,120,10,0,21,4
7,8,Rahul Chahar,Punjab,7,7,159,10,0,21,4
8,9,Umesh Yadav,Kolkata,7,7,168,10,0,21,4
9,10,Umran Malik,Hyderabad,6,6,132,9,0,21,4
10,11,Josh Hazlewood,Bangalore,3,3,72,8,0,21,4
11,12,Harshal Patel,Bangalore,6,6,144,8,0,21,4
12,13,Mohammed Shami,Gujarat,6,6,144,8,0,21,4
13,14,Bhuvneshwar Kumar,Hyderabad,6,6,144,8,0,21,4
14,15,Lockie Ferguson,Gujarat,6,6,144,8,0,21,4
15,16,Jason Holder,Lucknow,5,5,120,8,0,21,4
16,17,Maheesh Theekshana,Chennai,4,4,96,7,0,21,4
17,18,Trent Boult,Rajasthan,5,5,120,7,0,21,4
18,19,Kagiso Rabada,Punjab,6,6,126,7,0,21,4
19,20,Mukesh Choudhary,Chennai,6,6,123,7,0,21,4
20,21,Sunil Narine,Kolkata,7,7,168,6,0,21,4
21,22,Rashid Khan,Gujarat,6,6,144,6,0,21,4
22,23,Murugan Ashwin,Mumbai,6,6,126,6,0,21,4
23,24,Jaydev Unadkat,Mumbai,4,4,96,6,0,21,4
24,25,Mohammed Siraj,Bangalore,7,7,168,6,0,21,4
